0
"['Ask', 'Change', '%']"
"['A210115P00032500', '2020-07-09', '8:11PM', 'EDT', '32.50', '0.01', '0.00', '0.20', '0.00', '-', '2', '52', '86.33%']"
"['A210115P00035000', '2020-08-05', '2:03PM', 'EDT', '35.00', '0.11', '0.00', '0.40', '0.00', '-', '1', '273', '89.06%']"
"['A210115P00037500', '2020-09-03', '9:30AM', 'EDT', '37.50', '0.10', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['A210115P00040000', '2020-09-03', '11:02AM', 'EDT', '40.00', '0.15', '0.00', '0.00', '0.00', '-', '150', '0', '25.00%']"
"['A210115P00042500', '2020-09-03', '10:24AM', 'EDT', '42.50', '0.20', '0.00', '0.00', '0.00', '-', '100', '0', '25.00%']"
"['A210115P00045000', '2020-07-09', '8:11PM', 'EDT', '45.00', '0.78', '0.00', '0.45', '0.00', '-', '1', '4', '70.22%']"
"['A210115P00047500', '2020-09-15', '10:08AM', 'EDT', '47.50', '0.15', '0.05', '0.00', '0.00', '-', '4', '0', '25.00%']"
"['A210115P00050000', '2020-08-25', '9:30AM', 'EDT', '50.00', '0.20', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['A210115P00055000', '2020-09-18', '11:00AM', 'EDT', '55.00', '0.05', '0.00', '0.00', '0.00', '-', '8', '0', '25.00%']"
"['A210115P00057500', '2020-06-15', '3:04PM', 'EDT', '57.50', '1.60', '0.60', '1.05', '0.00', '-', '4', '101', '64.82%']"
"['A210115P00060000', '2020-08-06', '1:59PM', 'EDT', '60.00', '0.64', '0.00', '1.85', '0.00', '-', '2', '157', '62.21%']"
"['A210115P00062500', '2020-07-29', '2:50PM', 'EDT', '62.50', '0.75', '0.05', '1.05', '0.00', '-', '5', '240', '51.47%']"
"['A210115P00065000', '2020-08-10', '9:58AM', 'EDT', '65.00', '0.98', '0.25', '0.85', '0.00', '-', '2', '226', '52.78%']"
"['A210115P00067500', '2020-07-24', '1:27PM', 'EDT', '67.50', '1.30', '0.55', '0.90', '0.00', '-', '5', '153', '49.61%']"
"['A210115P00070000', '2020-09-03', '11:02AM', 'EDT', '70.00', '0.78', '0.00', '0.00', '0.00', '-', '200', '0', '12.50%']"
"['A210115P00072500', '2020-09-04', '2:55PM', 'EDT', '72.50', '1.30', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['A210115P00075000', '2020-09-09', '11:39AM', 'EDT', '75.00', '1.06', '0.00', '0.00', '0.00', '-', '5', '0', '12.50%']"
"['A210115P00077500', '2020-09-22', '1:39PM', 'EDT', '77.50', '1.19', '0.00', '0.00', '0.00', '-', '8', '0', '12.50%']"
"['A210115P00080000', '2020-09-22', '2:57PM', 'EDT', '80.00', '1.45', '0.00', '0.00', '0.00', '-', '8', '0', '6.25%']"
"['A210115P00082500', '2020-09-22', '1:12PM', 'EDT', '82.50', '1.85', '0.00', '0.00', '0.00', '-', '25', '0', '6.25%']"
"['A210115P00085000', '2020-09-22', '1:11PM', 'EDT', '85.00', '2.30', '0.00', '0.00', '0.00', '-', '7', '0', '6.25%']"
"['A210115P00087500', '2020-09-22', '1:11PM', 'EDT', '87.50', '2.85', '0.00', '0.00', '0.00', '-', '7', '0', '6.25%']"
"['A210115P00090000', '2020-09-22', '1:12PM', 'EDT', '90.00', '3.45', '0.00', '0.00', '0.00', '-', '17', '0', '3.13%']"
"['A210115P00092500', '2020-09-21', '3:13PM', 'EDT', '92.50', '4.70', '0.00', '0.00', '0.00', '-', '14', '0', '3.13%']"
"['A210115P00095000', '2020-09-22', '3:40PM', 'EDT', '95.00', '5.10', '0.00', '0.00', '0.00', '-', '2', '0', '1.56%']"
"['A210115P00097500', '2020-09-22', '10:37AM', 'EDT', '97.50', '6.30', '0.00', '0.00', '0.00', '-', '2', '0', '0.78%']"
"['A210115P00100000', '2020-09-21', '3:26PM', 'EDT', '100.00', '7.60', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['A210115P00105000', '2020-08-27', '1:02PM', 'EDT', '105.00', '10.40', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210115P00110000', '2020-07-09', '8:11PM', 'EDT', '110.00', '36.64', '16.20', '17.60', '0.00', '-', '1', '0', '47.22%']"
