0
"['Ask', 'Change', '%']"
"['A210115C00032500', '2020-07-09', '8:11PM', 'EDT', '32.50', '52.65', '63.20', '63.80', '0.00', '-', '10', '0', '0.00%']"
"['A210115C00035000', '2020-07-09', '8:11PM', 'EDT', '35.00', '38.20', '60.50', '61.40', '0.00', '-', '4', '0', '0.00%']"
"['A210115C00040000', '2020-07-09', '8:11PM', 'EDT', '40.00', '43.00', '55.60', '56.60', '0.00', '-', '7', '2', '0.00%']"
"['A210115C00042500', '2020-07-09', '8:11PM', 'EDT', '42.50', '38.60', '53.10', '54.40', '0.00', '-', '6', '1', '0.00%']"
"['A210115C00050000', '2020-07-09', '8:11PM', 'EDT', '50.00', '25.50', '45.50', '47.20', '0.00', '-', '1', '11', '0.00%']"
"['A210115C00055000', '2020-07-09', '8:11PM', 'EDT', '55.00', '27.72', '41.00', '42.40', '0.00', '-', '2', '4', '0.00%']"
"['A210115C00060000', '2020-07-09', '8:11PM', 'EDT', '60.00', '18.00', '36.20', '37.70', '0.00', '-', '1', '13', '0.00%']"
"['A210115C00062500', '2020-07-08', '3:07PM', 'EDT', '62.50', '28.58', '34.50', '37.20', '0.00', '-', '2', '18', '60.25%']"
"['A210115C00065000', '2020-07-09', '8:11PM', 'EDT', '65.00', '24.00', '31.30', '32.70', '0.00', '-', '5', '9', '0.00%']"
"['A210115C00067500', '2020-07-09', '8:11PM', 'EDT', '67.50', '13.70', '29.10', '31.00', '0.00', '-', '10', '10', '0.00%']"
"['A210115C00070000', '2020-08-31', '11:07AM', 'EDT', '70.00', '31.40', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210115C00072500', '2020-07-09', '8:11PM', 'EDT', '72.50', '18.13', '24.50', '26.10', '0.00', '-', '1', '99', '0.00%']"
"['A210115C00075000', '2020-08-11', '3:25PM', 'EDT', '75.00', '23.40', '23.80', '25.40', '0.00', '-', '2', '168', '47.27%']"
"['A210115C00077500', '2020-07-09', '8:11PM', 'EDT', '77.50', '16.65', '20.10', '22.10', '0.00', '-', '1', '54', '35.74%']"
"['A210115C00080000', '2020-07-10', '9:31AM', 'EDT', '80.00', '15.00', '19.50', '20.50', '0.00', '-', '1', '362', '39.98%']"
"['A210115C00082500', '2020-09-09', '11:03AM', 'EDT', '82.50', '17.00', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['A210115C00085000', '2020-09-11', '12:38PM', 'EDT', '85.00', '16.50', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210115C00087500', '2020-09-14', '10:19AM', 'EDT', '87.50', '14.75', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210115C00090000', '2020-09-11', '2:39PM', 'EDT', '90.00', '12.20', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['A210115C00092500', '2020-09-16', '10:47AM', 'EDT', '92.50', '11.70', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210115C00095000', '2020-09-08', '2:37PM', 'EDT', '95.00', '9.60', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210115C00097500', '2020-09-21', '12:57PM', 'EDT', '97.50', '6.40', '0.00', '0.00', '0.00', '-', '6', '0', '0.00%']"
"['A210115C00100000', '2020-09-22', '1:06PM', 'EDT', '100.00', '5.70', '0.00', '0.00', '0.00', '-', '4', '0', '0.78%']"
"['A210115C00105000', '2020-09-22', '10:59AM', 'EDT', '105.00', '3.60', '0.00', '0.00', '0.00', '-', '2', '0', '3.13%']"
"['A210115C00110000', '2020-09-22', '12:40PM', 'EDT', '110.00', '2.40', '0.00', '0.00', '0.00', '-', '5', '0', '6.25%']"
"['A210115C00115000', '2020-09-21', '3:42PM', 'EDT', '115.00', '1.25', '0.00', '0.00', '0.00', '-', '3', '0', '6.25%']"
"['A210115C00120000', '2020-09-11', '9:30AM', 'EDT', '120.00', '1.07', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['A210115C00125000', '2020-09-09', '10:37AM', 'EDT', '125.00', '0.75', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['A210115C00130000', '2020-09-04', '9:47AM', 'EDT', '130.00', '1.05', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['A210115C00135000', '2020-09-02', '2:19PM', 'EDT', '135.00', '0.40', '0.00', '0.00', '0.00', '-', '16', '0', '12.50%']"
"['A210115C00150000', '2020-09-03', '11:26AM', 'EDT', '150.00', '0.10', '0.00', '0.00', '0.00', '-', '-', '0', '12.50%']"
