0
"['Ask', 'Change', '%']"
"['A210219C00070000', '2020-09-09', '3:58PM', 'EDT', '70.00', '29.10', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
"['A210219C00090000', '2020-09-22', '2:49PM', 'EDT', '90.00', '12.75', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210219C00092500', '2020-09-02', '10:24AM', 'EDT', '92.50', '14.00', '0.00', '0.00', '0.00', '-', '10', '0', '0.00%']"
"['A210219C00095000', '2020-09-22', '2:49PM', 'EDT', '95.00', '9.57', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A210219C00097500', '2020-09-21', '3:02PM', 'EDT', '97.50', '7.60', '0.00', '0.00', '0.00', '-', '14', '0', '0.00%']"
"['A210219C00100000', '2020-09-22', '2:42PM', 'EDT', '100.00', '6.90', '0.00', '0.00', '0.00', '-', '2', '0', '0.78%']"
"['A210219C00105000', '2020-09-22', '2:57PM', 'EDT', '105.00', '4.55', '0.00', '0.00', '0.00', '-', '12', '0', '3.13%']"
"['A210219C00110000', '2020-09-22', '1:54PM', 'EDT', '110.00', '3.10', '0.00', '0.00', '0.00', '-', '5', '0', '3.13%']"
"['A210219C00115000', '2020-09-21', '11:07AM', 'EDT', '115.00', '1.83', '0.00', '0.00', '0.00', '-', '8', '0', '6.25%']"
"['A210219C00120000', '2020-09-01', '10:35AM', 'EDT', '120.00', '1.75', '0.00', '0.00', '0.00', '-', '2', '0', '6.25%']"
"['A210219C00125000', '2020-09-02', '10:40AM', 'EDT', '125.00', '1.50', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['A210219C00130000', '2020-09-16', '10:45AM', 'EDT', '130.00', '0.60', '0.00', '0.00', '0.00', '-', '7', '0', '12.50%']"
"['A210219C00135000', '2020-08-14', '12:55PM', 'EDT', '135.00', '0.40', '0.00', '1.20', '0.00', '-', '1', '52', '37.17%']"
"['A210219C00140000', '2020-09-03', '11:17AM', 'EDT', '140.00', '0.50', '0.00', '0.00', '0.00', '-', '-', '0', '12.50%']"
"['A210219C00145000', '2020-08-28', '9:56AM', 'EDT', '145.00', '0.15', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['A210219C00150000', '2020-09-03', '11:25AM', 'EDT', '150.00', '0.20', '0.00', '0.00', '0.00', '-', '-', '0', '12.50%']"
