0
"['Ask', 'Change', '%']"
"['A201120P00040000', '2020-07-09', '8:11PM', 'EDT', '40.00', '0.73', '0.03', '0.25', '0.00', '-', '-', '1', '103.71%']"
"['A201120P00047500', '2020-07-27', '9:47AM', 'EDT', '47.50', '0.15', '0.00', '0.20', '0.00', '-', '-', '0', '81.64%']"
"['A201120P00050000', '2020-07-23', '11:32AM', 'EDT', '50.00', '0.15', '0.00', '0.30', '0.00', '-', '-', '2', '80.86%']"
"['A201120P00055000', '2020-09-16', '9:34AM', 'EDT', '55.00', '0.10', '0.00', '0.00', '0.00', '-', '3', '0', '25.00%']"
"['A201120P00057500', '2020-07-27', '9:51AM', 'EDT', '57.50', '0.35', '0.00', '0.55', '0.00', '-', '2', '4', '72.56%']"
"['A201120P00060000', '2020-06-18', '3:26PM', 'EDT', '60.00', '1.31', '0.10', '0.95', '0.00', '-', '1', '3', '76.47%']"
"['A201120P00062500', '2020-09-16', '9:50AM', 'EDT', '62.50', '0.15', '0.10', '0.65', '0.00', '-', '2', '5', '66.50%']"
"['A201120P00065000', '2020-07-09', '8:11PM', 'EDT', '65.00', '4.35', '0.55', '0.80', '0.00', '-', '-', '2', '69.78%']"
"['A201120P00067500', '2020-08-06', '10:34AM', 'EDT', '67.50', '0.60', '0.20', '1.55', '0.00', '-', '1', '7', '68.77%']"
"['A201120P00070000', '2020-07-27', '9:53AM', 'EDT', '70.00', '0.90', '0.00', '1.15', '0.00', '-', '2', '16', '57.32%']"
"['A201120P00072500', '2020-06-29', '1:08PM', 'EDT', '72.50', '2.75', '0.85', '1.30', '0.00', '-', '97', '76', '61.67%']"
"['A201120P00075000', '2020-09-10', '11:34AM', 'EDT', '75.00', '0.58', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['A201120P00077500', '2020-09-09', '9:46AM', 'EDT', '77.50', '1.00', '0.00', '0.00', '0.00', '-', '101', '0', '12.50%']"
"['A201120P00080000', '2020-09-21', '12:03PM', 'EDT', '80.00', '0.75', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['A201120P00082500', '2020-09-10', '11:12AM', 'EDT', '82.50', '1.10', '0.00', '0.00', '0.00', '-', '7', '0', '12.50%']"
"['A201120P00085000', '2020-08-18', '1:49PM', 'EDT', '85.00', '2.05', '1.00', '1.25', '0.00', '-', '1', '9', '38.28%']"
"['A201120P00087500', '2020-09-21', '2:30PM', 'EDT', '87.50', '1.85', '0.00', '0.00', '0.00', '-', '9', '0', '6.25%']"
"['A201120P00090000', '2020-09-22', '10:43AM', 'EDT', '90.00', '2.10', '0.00', '0.00', '0.00', '-', '2', '0', '6.25%']"
"['A201120P00092500', '2020-09-03', '10:29AM', 'EDT', '92.50', '3.30', '0.00', '0.00', '0.00', '-', '4', '0', '3.13%']"
"['A201120P00095000', '2020-09-22', '12:12PM', 'EDT', '95.00', '3.40', '0.00', '0.00', '0.00', '-', '2', '0', '3.13%']"
"['A201120P00097500', '2020-09-22', '2:10PM', 'EDT', '97.50', '4.43', '0.00', '0.00', '0.00', '-', '7', '0', '0.78%']"
"['A201120P00100000', '2020-09-22', '3:56PM', 'EDT', '100.00', '5.70', '0.00', '0.00', '0.00', '-', '14', '0', '0.00%']"
"['A201120P00120000', '2020-06-22', '3:51PM', 'EDT', '120.00', '32.05', '23.20', '25.00', '0.00', '-', '5', '0', '57.18%']"
