0
"['Ask', 'Change', '%']"
"['A220121P00032500', '2020-09-02', '12:17PM', 'EDT', '32.50', '0.48', '0.00', '0.00', '0.00', '-', '2', '0', '25.00%']"
"['A220121P00035000', '2020-07-21', '2:33PM', 'EDT', '35.00', '0.79', '0.40', '1.20', '0.00', '-', '6', '7', '55.40%']"
"['A220121P00037500', '2020-07-09', '8:11PM', 'EDT', '37.50', '1.58', '0.55', '1.45', '0.00', '-', '-', '2', '54.61%']"
"['A220121P00040000', '2020-07-15', '1:01PM', 'EDT', '40.00', '1.60', '0.70', '1.25', '0.00', '-', '1', '41', '51.04%']"
"['A220121P00042500', '2020-08-07', '10:50AM', 'EDT', '42.50', '0.75', '0.70', '2.65', '0.00', '-', '2', '3', '54.74%']"
"['A220121P00045000', '2020-07-15', '1:00PM', 'EDT', '45.00', '1.80', '1.05', '1.50', '0.00', '-', '1', '1', '50.05%']"
"['A220121P00047500', '2020-07-15', '1:00PM', 'EDT', '47.50', '2.00', '1.40', '1.70', '0.00', '-', '1', '1', '48.68%']"
"['A220121P00055000', '2020-07-21', '2:33PM', 'EDT', '55.00', '2.29', '1.60', '2.15', '0.00', '-', '4', '2', '43.27%']"
"['A220121P00057500', '2020-09-16', '9:30AM', 'EDT', '57.50', '1.80', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['A220121P00060000', '2020-07-20', '11:29AM', 'EDT', '60.00', '2.40', '2.15', '4.10', '-0.60', '-20.00%']"
"['A220121P00062500', '2020-08-27', '11:49AM', 'EDT', '62.50', '2.50', '0.00', '0.00', '0.00', '-', '2', '0', '6.25%']"
"['A220121P00065000', '2020-09-21', '10:49AM', 'EDT', '65.00', '3.10', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['A220121P00067500', '2020-09-17', '10:01AM', 'EDT', '67.50', '3.40', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['A220121P00070000', '2020-09-21', '10:45AM', 'EDT', '70.00', '4.00', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['A220121P00072500', '2020-07-09', '8:11PM', 'EDT', '72.50', '8.62', '4.80', '5.80', '0.00', '-', '10', '17', '39.97%']"
"['A220121P00075000', '2020-09-18', '10:37AM', 'EDT', '75.00', '5.10', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['A220121P00077500', '2020-09-17', '9:55AM', 'EDT', '77.50', '5.80', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['A220121P00080000', '2020-09-18', '10:06AM', 'EDT', '80.00', '6.50', '0.00', '0.00', '0.00', '-', '1', '0', '3.13%']"
"['A220121P00082500', '2020-09-18', '10:05AM', 'EDT', '82.50', '7.30', '0.00', '0.00', '0.00', '-', '2', '0', '3.13%']"
"['A220121P00085000', '2020-09-17', '9:54AM', 'EDT', '85.00', '8.00', '0.00', '0.00', '0.00', '-', '1', '0', '3.13%']"
"['A220121P00087500', '2020-09-18', '9:59AM', 'EDT', '87.50', '9.00', '0.00', '0.00', '0.00', '-', '2', '0', '3.13%']"
"['A220121P00090000', '2020-09-17', '9:54AM', 'EDT', '90.00', '10.00', '0.00', '0.00', '0.00', '-', '1', '0', '1.56%']"
"['A220121P00092500', '2020-09-22', '11:17AM', 'EDT', '92.50', '10.70', '0.00', '0.00', '0.00', '-', '1', '0', '1.56%']"
"['A220121P00095000', '2020-09-22', '12:05PM', 'EDT', '95.00', '11.60', '0.00', '0.00', '0.00', '-', '1', '0', '0.78%']"
"['A220121P00097500', '2020-09-22', '11:13AM', 'EDT', '97.50', '13.10', '0.00', '0.00', '0.00', '-', '1', '0', '0.39%']"
"['A220121P00100000', '2020-09-11', '2:31PM', 'EDT', '100.00', '14.50', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['A220121P00120000', '2020-07-09', '8:11PM', 'EDT', '120.00', '37.70', '28.10', '30.80', '0.00', '-', '-', '1', '36.46%']"
