0,1,2,3,4,5,6,7,8,9,10,11,12
MO220121P00017500,2020-09-22,1:18PM,EDT,17.50,0.47,0.00,0.00,0.00,-,5,0,12.50%
MO220121P00020000,2020-09-18,2:35PM,EDT,20.00,0.70,0.00,0.00,0.00,-,20,0,12.50%
MO220121P00022500,2020-09-21,3:21PM,EDT,22.50,0.94,0.00,0.00,0.00,-,29,0,12.50%
MO220121P00025000,2020-09-21,10:17AM,EDT,25.00,1.62,0.00,0.00,0.00,-,101,0,6.25%
MO220121P00027500,2020-09-18,12:55PM,EDT,27.50,1.88,0.00,0.00,0.00,-,1,0,6.25%
MO220121P00030000,2020-09-22,11:31AM,EDT,30.00,2.65,0.00,0.00,0.00,-,2,0,6.25%
MO220121P00032500,2020-09-22,11:50AM,EDT,32.50,3.32,0.00,0.00,0.00,-,1,0,3.13%
MO220121P00035000,2020-09-22,10:18AM,EDT,35.00,4.50,0.00,0.00,0.00,-,3,0,1.56%
MO220121P00037500,2020-09-22,3:43PM,EDT,37.50,5.80,0.00,0.00,0.00,-,6,0,0.78%
MO220121P00040000,2020-09-22,10:37AM,EDT,40.00,6.89,0.00,0.00,0.00,-,3,0,0.00%
MO220121P00042500,2020-09-14,10:19AM,EDT,42.50,6.85,0.00,0.00,0.00,-,15,0,0.00%
MO220121P00045000,2020-09-21,3:20PM,EDT,45.00,10.77,0.00,0.00,0.00,-,1,0,0.00%
MO220121P00047500,2020-09-15,3:12PM,EDT,47.50,9.28,0.00,0.00,0.00,-,4,0,0.00%
MO220121P00050000,2020-09-22,2:06PM,EDT,50.00,14.55,0.00,0.00,0.00,-,4,0,0.00%
MO220121P00052500,2020-08-19,2:35PM,EDT,52.50,13.29,13.65,17.90,0.00,-,1,108,45.31%
MO220121P00055000,2020-09-21,2:10PM,EDT,55.00,18.98,0.00,0.00,0.00,-,10,0,0.00%
MO220121P00057500,2020-09-11,1:58PM,EDT,57.50,18.00,0.00,0.00,0.00,-,2,0,0.00%
MO220121P00060000,2020-09-22,1:25PM,EDT,60.00,23.67,0.00,0.00,0.00,-,2,0,0.00%
MO220121P00065000,2020-09-14,12:42PM,EDT,65.00,28.48,0.00,0.00,0.00,-,1,0,0.00%
MO220121P00070000,2020-08-24,11:32AM,EDT,70.00,33.75,0.00,0.00,0.00,-,2,0,0.00%
MO220121P00075000,2020-09-22,2:41PM,EDT,75.00,38.50,0.00,0.00,0.00,-,27,0,0.00%
