0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201023P00022500', '2020-09-08', '9:30AM', 'EDT', '22.50', '0.14', '0.00', '0.00', '0.00', '-', '20', '0', '25.00%']"
"['T201023P00023000', '2020-09-08', '1:21PM', 'EDT', '23.00', '0.10', '0.00', '0.00', '0.00', '-', '4', '0', '25.00%']"
"['T201023P00024000', '2020-09-18', '1:42PM', 'EDT', '24.00', '0.08', '0.00', '0.00', '0.00', '-', '4', '0', '12.50%']"
"['T201023P00024500', '2020-09-22', '3:47PM', 'EDT', '24.50', '0.09', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['T201023P00025000', '2020-09-22', '3:47PM', 'EDT', '25.00', '0.10', '0.00', '0.00', '0.00', '-', '12', '0', '12.50%']"
"['T201023P00026000', '2020-09-22', '3:43PM', 'EDT', '26.00', '0.21', '0.00', '0.00', '0.00', '-', '8', '0', '6.25%']"
"['T201023P00026500', '2020-09-22', '3:04PM', 'EDT', '26.50', '0.30', '0.00', '0.00', '0.00', '-', '78', '0', '6.25%']"
"['T201023P00027000', '2020-09-22', '12:44PM', 'EDT', '27.00', '0.39', '0.00', '0.00', '0.00', '-', '11', '0', '6.25%']"
"['T201023P00027500', '2020-09-22', '3:45PM', 'EDT', '27.50', '0.57', '0.00', '0.00', '0.00', '-', '62', '0', '3.13%']"
"['T201023P00028000', '2020-09-22', '3:56PM', 'EDT', '28.00', '0.77', '0.00', '0.00', '0.00', '-', '109', '0', '1.56%']"
"['T201023P00028500', '2020-09-22', '3:39PM', 'EDT', '28.50', '1.02', '0.00', '0.00', '0.00', '-', '18', '0', '0.10%']"
"['T201023P00029000', '2020-09-22', '3:19PM', 'EDT', '29.00', '1.36', '0.00', '0.00', '0.00', '-', '38', '0', '0.00%']"
"['T201023P00029500', '2020-09-22', '3:39PM', 'EDT', '29.50', '1.73', '0.00', '0.00', '0.00', '-', '15', '0', '0.00%']"
"['T201023P00030000', '2020-09-21', '3:29PM', 'EDT', '30.00', '2.09', '0.00', '0.00', '0.00', '-', '32', '0', '0.00%']"
"['T201023P00030500', '2020-09-17', '9:31AM', 'EDT', '30.50', '2.04', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201023P00031000', '2020-09-18', '11:34AM', 'EDT', '31.00', '2.47', '0.00', '0.00', '0.00', '-', '5', '0', '0.00%']"
"['T201023P00031500', '2020-09-14', '9:51AM', 'EDT', '31.50', '2.88', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201023P00032000', '2020-09-18', '2:04PM', 'EDT', '32.00', '3.57', '0.00', '0.00', '0.00', '-', '25', '0', '0.00%']"
"['T201023P00032500', '2020-09-08', '11:01AM', 'EDT', '32.50', '3.92', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201023P00035000', '2020-09-14', '10:50AM', 'EDT', '35.00', '6.80', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
