0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201016P00016000', '2020-08-11', '11:11AM', 'EDT', '16.00', '0.01', '0.00', '0.03', '0.00', '-', '1,752', '1,889', '95.31%']"
"['T201016P00017000', '2020-09-18', '11:01AM', 'EDT', '17.00', '0.01', '0.00', '0.00', '0.00', '-', '7', '0', '50.00%']"
"['T201016P00018000', '2020-09-04', '12:33PM', 'EDT', '18.00', '0.07', '0.00', '0.00', '0.00', '-', '1', '0', '50.00%']"
"['T201016P00020000', '2020-09-18', '3:10PM', 'EDT', '20.00', '0.01', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['T201016P00021000', '2020-09-15', '3:39PM', 'EDT', '21.00', '0.02', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['T201016P00023000', '2020-09-22', '12:29PM', 'EDT', '23.00', '0.02', '0.00', '0.00', '0.00', '-', '16', '0', '25.00%']"
"['T201016P00024000', '2020-09-21', '3:12PM', 'EDT', '24.00', '0.03', '0.00', '0.00', '0.00', '-', '250', '0', '12.50%']"
"['T201016P00025000', '2020-09-22', '3:19PM', 'EDT', '25.00', '0.07', '0.00', '0.00', '0.00', '-', '44', '0', '12.50%']"
"['T201016P00026000', '2020-09-22', '3:44PM', 'EDT', '26.00', '0.10', '0.00', '0.00', '0.00', '-', '146', '0', '12.50%']"
"['T201016P00027000', '2020-09-22', '3:56PM', 'EDT', '27.00', '0.24', '0.00', '0.00', '0.00', '-', '394', '0', '6.25%']"
"['T201016P00028000', '2020-09-22', '3:56PM', 'EDT', '28.00', '0.56', '0.00', '0.00', '0.00', '-', '781', '0', '3.13%']"
"['T201016P00029000', '2020-09-22', '3:46PM', 'EDT', '29.00', '1.17', '0.00', '0.00', '0.00', '-', '125', '0', '0.00%']"
"['T201016P00030000', '2020-09-22', '3:25PM', 'EDT', '30.00', '2.07', '0.00', '0.00', '0.00', '-', '35', '0', '0.00%']"
"['T201016P00031000', '2020-09-22', '3:31PM', 'EDT', '31.00', '3.00', '0.00', '0.00', '0.00', '-', '2,031', '0', '0.00%']"
"['T201016P00032000', '2020-09-22', '12:58PM', 'EDT', '32.00', '4.06', '0.00', '0.00', '0.00', '-', '22', '0', '0.00%']"
"['T201016P00033000', '2020-09-21', '11:01AM', 'EDT', '33.00', '4.98', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016P00034000', '2020-09-22', '1:58PM', 'EDT', '34.00', '5.95', '0.00', '0.00', '0.00', '-', '4', '0', '0.00%']"
"['T201016P00035000', '2020-09-18', '10:42AM', 'EDT', '35.00', '6.51', '0.00', '0.00', '0.00', '-', '4', '0', '0.00%']"
"['T201016P00036000', '2020-09-21', '3:37PM', 'EDT', '36.00', '8.00', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016P00038000', '2020-09-21', '9:49AM', 'EDT', '38.00', '9.92', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016P00039000', '2020-09-14', '1:49PM', 'EDT', '39.00', '10.26', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201016P00040000', '2020-09-21', '11:23AM', 'EDT', '40.00', '12.03', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201016P00042000', '2020-09-16', '1:37PM', 'EDT', '42.00', '13.10', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201016P00043000', '2020-09-16', '1:37PM', 'EDT', '43.00', '14.10', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201016P00044000', '2020-08-27', '1:12PM', 'EDT', '44.00', '15.10', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016P00045000', '2020-09-16', '1:53PM', 'EDT', '45.00', '16.05', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201016P00046000', '2020-09-16', '12:13PM', 'EDT', '46.00', '17.10', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016P00047000', '2020-09-16', '12:13PM', 'EDT', '47.00', '18.10', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
