0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T210917C00015000', '2020-09-11', '12:00PM', 'EDT', '15.00', '13.98', '0.00', '0.00', '0.00', '-', '10', '0', '0.00%']"
"['T210917C00020000', '2020-09-22', '2:50PM', 'EDT', '20.00', '8.55', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T210917C00023000', '2020-09-22', '1:38PM', 'EDT', '23.00', '5.61', '0.00', '0.00', '0.00', '-', '22', '0', '0.00%']"
"['T210917C00025000', '2020-09-22', '10:52AM', 'EDT', '25.00', '4.09', '0.00', '0.00', '0.00', '-', '26', '0', '0.00%']"
"['T210917C00028000', '2020-09-22', '10:53AM', 'EDT', '28.00', '2.28', '0.00', '0.00', '0.00', '-', '21', '0', '0.00%']"
"['T210917C00030000', '2020-09-22', '2:14PM', 'EDT', '30.00', '1.45', '0.00', '0.00', '0.00', '-', '12', '0', '1.56%']"
"['T210917C00032000', '2020-09-22', '3:01PM', 'EDT', '32.00', '0.89', '0.00', '0.00', '0.00', '-', '161', '0', '3.13%']"
"['T210917C00035000', '2020-09-22', '3:26PM', 'EDT', '35.00', '0.42', '0.00', '0.00', '0.00', '-', '46', '0', '6.25%']"
"['T210917C00037000', '2020-09-22', '1:36PM', 'EDT', '37.00', '0.27', '0.00', '0.00', '0.00', '-', '12', '0', '6.25%']"
"['T210917C00045000', '2020-09-18', '2:39PM', 'EDT', '45.00', '0.08', '0.00', '0.00', '0.00', '-', '4', '0', '12.50%']"
"['T210917C00047000', '2020-09-22', '2:49PM', 'EDT', '47.00', '0.06', '0.00', '0.00', '0.00', '-', '7', '0', '12.50%']"
