0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T210115C00018000', '2020-09-21', '3:38PM', 'EDT', '18.00', '10.54', '0.00', '0.00', '0.00', '-', '28', '0', '0.00%']"
"['T210115C00020000', '2020-09-21', '3:59PM', 'EDT', '20.00', '8.60', '0.00', '0.00', '0.00', '-', '105', '0', '0.00%']"
"['T210115C00021000', '2020-09-02', '3:49PM', 'EDT', '21.00', '8.80', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T210115C00022000', '2020-09-21', '3:57PM', 'EDT', '22.00', '6.56', '0.00', '0.00', '0.00', '-', '8', '0', '0.00%']"
"['T210115C00023000', '2020-09-16', '2:36PM', 'EDT', '23.00', '6.49', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T210115C00025000', '2020-09-22', '2:51PM', 'EDT', '25.00', '3.62', '0.00', '0.00', '0.00', '-', '322', '0', '0.00%']"
"['T210115C00026000', '2020-09-22', '11:06AM', 'EDT', '26.00', '2.82', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T210115C00027000', '2020-09-22', '3:01PM', 'EDT', '27.00', '2.00', '0.00', '0.00', '0.00', '-', '1,659', '0', '0.00%']"
"['T210115C00028000', '2020-09-22', '3:03PM', 'EDT', '28.00', '1.40', '0.00', '0.00', '0.00', '-', '259', '0', '0.00%']"
"['T210115C00029000', '2020-09-22', '3:46PM', 'EDT', '29.00', '0.97', '0.00', '0.00', '0.00', '-', '658', '0', '0.78%']"
"['T210115C00030000', '2020-09-22', '3:20PM', 'EDT', '30.00', '0.61', '0.00', '0.00', '0.00', '-', '388', '0', '3.13%']"
"['T210115C00031000', '2020-09-22', '3:57PM', 'EDT', '31.00', '0.38', '0.00', '0.00', '0.00', '-', '336', '0', '3.13%']"
"['T210115C00032000', '2020-09-22', '3:21PM', 'EDT', '32.00', '0.25', '0.00', '0.00', '0.00', '-', '324', '0', '6.25%']"
"['T210115C00033000', '2020-09-22', '3:46PM', 'EDT', '33.00', '0.17', '0.00', '0.00', '0.00', '-', '247', '0', '6.25%']"
"['T210115C00034000', '2020-09-22', '3:27PM', 'EDT', '34.00', '0.12', '0.00', '0.00', '0.00', '-', '1,280', '0', '6.25%']"
"['T210115C00037000', '2020-09-22', '3:38PM', 'EDT', '37.00', '0.06', '0.00', '0.00', '0.00', '-', '36', '0', '12.50%']"
"['T210115C00040000', '2020-09-22', '1:30PM', 'EDT', '40.00', '0.05', '0.00', '0.00', '0.00', '-', '91', '0', '12.50%']"
"['T210115C00042000', '2020-09-22', '3:35PM', 'EDT', '42.00', '0.02', '0.00', '0.00', '0.00', '-', '27', '0', '12.50%']"
"['T210115C00047000', '2020-09-22', '3:57PM', 'EDT', '47.00', '0.03', '0.00', '0.00', '0.00', '-', '86', '0', '25.00%']"
