0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201016C00015000', '2020-09-03', '9:55AM', 'EDT', '15.00', '15.10', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016C00016000', '2020-07-09', '8:13PM', 'EDT', '16.00', '12.10', '14.00', '14.20', '0.00', '-', '-', '1', '268.36%']"
"['T201016C00017000', '2020-09-17', '3:03PM', 'EDT', '17.00', '12.05', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201016C00018000', '2020-09-17', '3:03PM', 'EDT', '18.00', '11.05', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201016C00019000', '2020-07-08', '3:18PM', 'EDT', '19.00', '11.45', '10.95', '11.20', '0.00', '-', '225', '0', '208.01%']"
"['T201016C00020000', '2020-09-18', '12:13PM', 'EDT', '20.00', '9.10', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016C00021000', '2020-09-10', '11:46AM', 'EDT', '21.00', '8.15', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016C00022000', '2020-09-17', '3:45PM', 'EDT', '22.00', '7.10', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201016C00023000', '2020-09-03', '9:38AM', 'EDT', '23.00', '6.35', '0.00', '0.00', '0.00', '-', '18', '0', '0.00%']"
"['T201016C00024000', '2020-09-21', '12:00PM', 'EDT', '24.00', '4.45', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201016C00025000', '2020-09-22', '3:49PM', 'EDT', '25.00', '3.55', '0.00', '0.00', '0.00', '-', '10', '0', '0.00%']"
"['T201016C00027000', '2020-09-22', '2:59PM', 'EDT', '27.00', '1.59', '0.00', '0.00', '0.00', '-', '19', '0', '0.00%']"
"['T201016C00028000', '2020-09-22', '3:58PM', 'EDT', '28.00', '0.79', '0.00', '0.00', '0.00', '-', '2,259', '0', '0.00%']"
"['T201016C00029000', '2020-09-22', '3:59PM', 'EDT', '29.00', '0.28', '0.00', '0.00', '0.00', '-', '1,690', '0', '1.56%']"
"['T201016C00030000', '2020-09-22', '3:54PM', 'EDT', '30.00', '0.09', '0.00', '0.00', '0.00', '-', '2,489', '0', '6.25%']"
"['T201016C00032000', '2020-09-22', '3:26PM', 'EDT', '32.00', '0.02', '0.00', '0.00', '0.00', '-', '137', '0', '12.50%']"
"['T201016C00033000', '2020-09-22', '11:30AM', 'EDT', '33.00', '0.01', '0.00', '0.00', '0.00', '-', '81', '0', '12.50%']"
"['T201016C00034000', '2020-09-22', '3:55PM', 'EDT', '34.00', '0.02', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['T201016C00035000', '2020-09-22', '3:14PM', 'EDT', '35.00', '0.01', '0.00', '0.00', '0.00', '-', '30', '0', '25.00%']"
"['T201016C00036000', '2020-09-22', '10:25AM', 'EDT', '36.00', '0.01', '0.00', '0.00', '0.00', '-', '7', '0', '25.00%']"
"['T201016C00037000', '2020-09-17', '2:27PM', 'EDT', '37.00', '0.01', '0.00', '0.00', '0.00', '-', '11', '0', '25.00%']"
"['T201016C00038000', '2020-09-11', '9:41AM', 'EDT', '38.00', '0.01', '0.00', '0.00', '0.00', '-', '6', '0', '25.00%']"
"['T201016C00041000', '2020-09-09', '2:36PM', 'EDT', '41.00', '0.01', '0.00', '0.00', '0.00', '-', '3', '0', '25.00%']"
"['T201016C00042000', '2020-08-26', '11:54AM', 'EDT', '42.00', '0.03', '0.00', '0.00', '0.00', '-', '50', '0', '25.00%']"
"['T201016C00043000', '2020-07-28', '10:39AM', 'EDT', '43.00', '0.01', '0.00', '0.03', '0.00', '-', '1', '361', '65.63%']"
"['T201016C00044000', '2020-08-03', '1:37PM', 'EDT', '44.00', '0.01', '0.00', '0.01', '0.00', '-', '2', '64', '62.50%']"
"['T201016C00045000', '2020-08-12', '10:53AM', 'EDT', '45.00', '0.01', '0.00', '0.03', '0.00', '-', '2', '154', '71.88%']"
"['T201016C00046000', '2020-07-09', '2:15PM', 'EDT', '46.00', '0.01', '0.00', '0.03', '0.00', '-', '2', '41', '75.00%']"
"['T201016C00047000', '2020-08-27', '12:57PM', 'EDT', '47.00', '0.03', '0.00', '0.00', '0.00', '-', '40', '0', '50.00%']"
