0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T230120C00018000', '2020-09-21', '2:32PM', 'EDT', '18.00', '10.33', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T230120C00020000', '2020-09-22', '12:53PM', 'EDT', '20.00', '8.50', '0.00', '0.00', '0.00', '-', '18', '0', '0.00%']"
"['T230120C00023000', '2020-09-22', '1:47PM', 'EDT', '23.00', '5.85', '0.00', '0.00', '0.00', '-', '13', '0', '0.00%']"
"['T230120C00025000', '2020-09-22', '2:50PM', 'EDT', '25.00', '4.51', '0.00', '0.00', '0.00', '-', '75', '0', '0.00%']"
"['T230120C00027000', '2020-09-22', '2:21PM', 'EDT', '27.00', '3.50', '0.00', '0.00', '0.00', '-', '29', '0', '0.00%']"
"['T230120C00030000', '2020-09-22', '3:35PM', 'EDT', '30.00', '2.19', '0.00', '0.00', '0.00', '-', '227', '0', '0.78%']"
"['T230120C00032000', '2020-09-22', '3:51PM', 'EDT', '32.00', '1.53', '0.00', '0.00', '0.00', '-', '46', '0', '1.56%']"
"['T230120C00035000', '2020-09-22', '3:46PM', 'EDT', '35.00', '1.02', '0.00', '0.00', '0.00', '-', '207', '0', '3.13%']"
