0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T210917P00015000', '2020-09-10', '9:30AM', 'EDT', '15.00', '0.19', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['T210917P00018000', '2020-09-14', '2:10PM', 'EDT', '18.00', '0.28', '0.00', '0.00', '0.00', '-', '18', '0', '12.50%']"
"['T210917P00020000', '2020-09-18', '10:19AM', 'EDT', '20.00', '0.49', '0.00', '0.00', '0.00', '-', '6', '0', '6.25%']"
"['T210917P00023000', '2020-09-17', '1:31PM', 'EDT', '23.00', '0.96', '0.00', '0.00', '0.00', '-', '6', '0', '6.25%']"
"['T210917P00025000', '2020-09-21', '2:00PM', 'EDT', '25.00', '1.71', '0.00', '0.00', '0.00', '-', '4', '0', '3.13%']"
"['T210917P00028000', '2020-09-22', '3:12PM', 'EDT', '28.00', '3.04', '0.00', '0.00', '0.00', '-', '1,376', '0', '0.78%']"
"['T210917P00030000', '2020-09-21', '1:51PM', 'EDT', '30.00', '4.40', '0.00', '0.00', '0.00', '-', '23', '0', '0.00%']"
"['T210917P00032000', '2020-09-15', '12:26PM', 'EDT', '32.00', '5.50', '0.00', '0.00', '0.00', '-', '10', '0', '0.00%']"
"['T210917P00035000', '2020-09-18', '2:11PM', 'EDT', '35.00', '7.86', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T210917P00037000', '2020-08-24', '2:55PM', 'EDT', '37.00', '8.75', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
"['T210917P00042000', '2020-09-11', '10:32AM', 'EDT', '42.00', '14.40', '0.00', '0.00', '0.00', '-', '12', '0', '0.00%']"
"['T210917P00047000', '2020-08-27', '11:20AM', 'EDT', '47.00', '18.50', '0.00', '0.00', '0.00', '-', '7', '0', '0.00%']"
