0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201002P00024000', '2020-09-22', '3:39PM', 'EDT', '24.00', '0.03', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['T201002P00025000', '2020-09-22', '3:41PM', 'EDT', '25.00', '0.03', '0.00', '0.00', '0.00', '-', '12', '0', '25.00%']"
"['T201002P00026000', '2020-09-22', '10:25AM', 'EDT', '26.00', '0.01', '0.00', '0.00', '0.00', '-', '46', '0', '12.50%']"
"['T201002P00026500', '2020-09-22', '11:34AM', 'EDT', '26.50', '0.04', '0.00', '0.00', '0.00', '-', '213', '0', '12.50%']"
"['T201002P00027000', '2020-09-22', '3:11PM', 'EDT', '27.00', '0.07', '0.00', '0.00', '0.00', '-', '54', '0', '12.50%']"
"['T201002P00027500', '2020-09-22', '3:39PM', 'EDT', '27.50', '0.10', '0.00', '0.00', '0.00', '-', '156', '0', '6.25%']"
"['T201002P00028000', '2020-09-22', '3:56PM', 'EDT', '28.00', '0.20', '0.00', '0.00', '0.00', '-', '2,183', '0', '3.13%']"
"['T201002P00028500', '2020-09-22', '3:21PM', 'EDT', '28.50', '0.38', '0.00', '0.00', '0.00', '-', '1,114', '0', '0.20%']"
"['T201002P00029000', '2020-09-22', '3:04PM', 'EDT', '29.00', '0.68', '0.00', '0.00', '0.00', '-', '155', '0', '0.00%']"
"['T201002P00029500', '2020-09-22', '11:57AM', 'EDT', '29.50', '1.08', '0.00', '0.00', '0.00', '-', '26', '0', '0.00%']"
"['T201002P00030000', '2020-09-22', '3:32PM', 'EDT', '30.00', '1.51', '0.00', '0.00', '0.00', '-', '29', '0', '0.00%']"
"['T201002P00030500', '2020-09-22', '11:21AM', 'EDT', '30.50', '1.95', '0.00', '0.00', '0.00', '-', '6', '0', '0.00%']"
"['T201002P00031000', '2020-09-22', '11:21AM', 'EDT', '31.00', '2.44', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201002P00032000', '2020-09-18', '11:58AM', 'EDT', '32.00', '2.88', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201002P00033000', '2020-09-03', '10:05AM', 'EDT', '33.00', '4.50', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201002P00034000', '2020-09-21', '12:11AM', 'EDT', '34.00', '5.50', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201002P00035000', '2020-08-31', '2:13PM', 'EDT', '35.00', '5.15', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
