0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201218P00017000', '2020-09-14', '10:29AM', 'EDT', '17.00', '0.05', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['T201218P00018000', '2020-09-08', '12:17PM', 'EDT', '18.00', '0.09', '0.00', '0.00', '0.00', '-', '20', '0', '25.00%']"
"['T201218P00020000', '2020-09-22', '2:29PM', 'EDT', '20.00', '0.07', '0.00', '0.00', '0.00', '-', '20', '0', '12.50%']"
"['T201218P00021000', '2020-09-21', '9:34AM', 'EDT', '21.00', '0.12', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['T201218P00024000', '2020-09-22', '12:35PM', 'EDT', '24.00', '0.28', '0.00', '0.00', '0.00', '-', '14', '0', '6.25%']"
"['T201218P00025000', '2020-09-22', '3:37PM', 'EDT', '25.00', '0.39', '0.00', '0.00', '0.00', '-', '142', '0', '6.25%']"
"['T201218P00026000', '2020-09-22', '3:49PM', 'EDT', '26.00', '0.59', '0.00', '0.00', '0.00', '-', '69', '0', '6.25%']"
"['T201218P00027000', '2020-09-22', '3:03PM', 'EDT', '27.00', '0.87', '0.00', '0.00', '0.00', '-', '205', '0', '3.13%']"
"['T201218P00028000', '2020-09-22', '3:40PM', 'EDT', '28.00', '1.26', '0.00', '0.00', '0.00', '-', '173', '0', '1.56%']"
"['T201218P00029000', '2020-09-22', '1:27PM', 'EDT', '29.00', '1.76', '0.00', '0.00', '0.00', '-', '76', '0', '0.00%']"
"['T201218P00031000', '2020-09-21', '11:39AM', 'EDT', '31.00', '3.20', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201218P00032000', '2020-09-18', '3:02PM', 'EDT', '32.00', '3.73', '0.00', '0.00', '0.00', '-', '16', '0', '0.00%']"
"['T201218P00033000', '2020-09-22', '3:02PM', 'EDT', '33.00', '5.10', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201218P00034000', '2020-09-16', '2:55PM', 'EDT', '34.00', '5.45', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201218P00035000', '2020-09-22', '1:27PM', 'EDT', '35.00', '7.00', '0.00', '0.00', '0.00', '-', '63', '0', '0.00%']"
"['T201218P00037000', '2020-09-14', '3:47PM', 'EDT', '37.00', '8.77', '0.00', '0.00', '0.00', '-', '5', '0', '0.00%']"
"['T201218P00042000', '2020-08-27', '9:36AM', 'EDT', '42.00', '12.45', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201218P00045000', '2020-09-14', '3:42PM', 'EDT', '45.00', '16.30', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201218P00047000', '2020-09-03', '11:57AM', 'EDT', '47.00', '17.85', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201218P00050000', '2020-07-21', '9:36AM', 'EDT', '50.00', '20.30', '20.60', '20.85', '0.00', '-', '4', '27', '0.00%']"
