0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T210115P00015000', '2020-09-21', '3:22PM', 'EDT', '15.00', '0.04', '0.00', '0.00', '0.00', '-', '6', '0', '25.00%']"
"['T210115P00018000', '2020-09-22', '9:47AM', 'EDT', '18.00', '0.07', '0.00', '0.00', '0.00', '-', '4', '0', '25.00%']"
"['T210115P00020000', '2020-09-22', '3:01PM', 'EDT', '20.00', '0.12', '0.00', '0.00', '0.00', '-', '8', '0', '12.50%']"
"['T210115P00021000', '2020-09-04', '3:59PM', 'EDT', '21.00', '0.14', '0.00', '0.00', '0.00', '-', '10', '0', '12.50%']"
"['T210115P00022000', '2020-09-21', '2:23PM', 'EDT', '22.00', '0.22', '0.00', '0.00', '0.00', '-', '90', '0', '12.50%']"
"['T210115P00024000', '2020-09-22', '10:43AM', 'EDT', '24.00', '0.38', '0.00', '0.00', '0.00', '-', '15', '0', '6.25%']"
"['T210115P00025000', '2020-09-22', '3:44PM', 'EDT', '25.00', '0.57', '0.00', '0.00', '0.00', '-', '1,006', '0', '6.25%']"
"['T210115P00026000', '2020-09-22', '3:57PM', 'EDT', '26.00', '0.81', '0.00', '0.00', '0.00', '-', '220', '0', '3.13%']"
"['T210115P00027000', '2020-09-22', '3:47PM', 'EDT', '27.00', '1.16', '0.00', '0.00', '0.00', '-', '187', '0', '3.13%']"
"['T210115P00028000', '2020-09-22', '1:40PM', 'EDT', '28.00', '1.58', '0.00', '0.00', '0.00', '-', '253', '0', '0.78%']"
"['T210115P00030000', '2020-09-22', '3:53PM', 'EDT', '30.00', '2.89', '0.00', '0.00', '0.00', '-', '141', '0', '0.00%']"
"['T210115P00032000', '2020-09-22', '1:51PM', 'EDT', '32.00', '4.55', '0.00', '0.00', '0.00', '-', '12', '0', '0.00%']"
"['T210115P00033000', '2020-09-21', '2:52PM', 'EDT', '33.00', '5.70', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T210115P00034000', '2020-09-22', '3:10PM', 'EDT', '34.00', '6.50', '0.00', '0.00', '0.00', '-', '46', '0', '0.00%']"
"['T210115P00035000', '2020-09-22', '3:11PM', 'EDT', '35.00', '7.50', '0.00', '0.00', '0.00', '-', '78', '0', '0.00%']"
"['T210115P00036000', '2020-09-22', '9:49AM', 'EDT', '36.00', '8.10', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T210115P00037000', '2020-09-14', '12:37PM', 'EDT', '37.00', '8.91', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T210115P00042000', '2020-09-22', '9:57AM', 'EDT', '42.00', '14.20', '0.00', '0.00', '0.00', '-', '12', '0', '0.00%']"
"['T210115P00045000', '2020-09-21', '11:24AM', 'EDT', '45.00', '17.40', '0.00', '0.00', '0.00', '-', '53', '0', '0.00%']"
"['T210115P00047000', '2020-09-11', '10:21AM', 'EDT', '47.00', '18.85', '0.00', '0.00', '0.00', '-', '42', '0', '0.00%']"
"['T210115P00050000', '2020-09-21', '12:22PM', 'EDT', '50.00', '22.40', '0.00', '0.00', '0.00', '-', '95', '0', '0.00%']"
