0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201002C00023000', '2020-09-09', '2:39PM', 'EDT', '23.00', '6.57', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T201002C00024000', '2020-09-15', '11:42AM', 'EDT', '24.00', '5.18', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201002C00024500', '2020-08-26', '3:01PM', 'EDT', '24.50', '5.60', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201002C00025000', '2020-09-21', '9:43AM', 'EDT', '25.00', '3.65', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201002C00025500', '2020-09-09', '10:59AM', 'EDT', '25.50', '4.00', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201002C00026500', '2020-09-22', '3:37PM', 'EDT', '26.50', '2.08', '0.00', '0.00', '0.00', '-', '40', '0', '0.00%']"
"['T201002C00027000', '2020-09-22', '12:53PM', 'EDT', '27.00', '1.55', '0.00', '0.00', '0.00', '-', '23', '0', '0.00%']"
"['T201002C00027500', '2020-09-22', '3:53PM', 'EDT', '27.50', '1.15', '0.00', '0.00', '0.00', '-', '57', '0', '0.00%']"
"['T201002C00028000', '2020-09-22', '3:50PM', 'EDT', '28.00', '0.74', '0.00', '0.00', '0.00', '-', '73', '0', '0.00%']"
"['T201002C00028500', '2020-09-22', '3:54PM', 'EDT', '28.50', '0.39', '0.00', '0.00', '0.00', '-', '1,370', '0', '0.00%']"
"['T201002C00029000', '2020-09-22', '3:59PM', 'EDT', '29.00', '0.18', '0.00', '0.00', '0.00', '-', '2,127', '0', '3.13%']"
"['T201002C00030000', '2020-09-22', '3:48PM', 'EDT', '30.00', '0.03', '0.00', '0.00', '0.00', '-', '325', '0', '6.25%']"
"['T201002C00030500', '2020-09-22', '3:54PM', 'EDT', '30.50', '0.02', '0.00', '0.00', '0.00', '-', '196', '0', '12.50%']"
"['T201002C00031000', '2020-09-22', '10:25AM', 'EDT', '31.00', '0.01', '0.00', '0.00', '0.00', '-', '35', '0', '12.50%']"
"['T201002C00031500', '2020-09-22', '1:56PM', 'EDT', '31.50', '0.01', '0.00', '0.00', '0.00', '-', '82', '0', '12.50%']"
"['T201002C00032000', '2020-09-22', '12:28PM', 'EDT', '32.00', '0.01', '0.00', '0.00', '0.00', '-', '6', '0', '25.00%']"
"['T201002C00032500', '2020-09-17', '10:08AM', 'EDT', '32.50', '0.01', '0.00', '0.00', '0.00', '-', '10', '0', '25.00%']"
"['T201002C00033000', '2020-09-22', '1:05PM', 'EDT', '33.00', '0.01', '0.00', '0.00', '0.00', '-', '6', '0', '25.00%']"
"['T201002C00034500', '2020-08-24', '12:09AM', 'EDT', '34.50', '0.02', '0.00', '0.00', '0.00', '-', '-', '0', '25.00%']"
"['T201002C00036000', '2020-08-25', '9:30AM', 'EDT', '36.00', '0.07', '0.00', '0.00', '0.00', '-', '-', '0', '25.00%']"
"['T201002C00037000', '2020-09-04', '1:14PM', 'EDT', '37.00', '0.01', '0.00', '0.00', '0.00', '-', '9', '0', '50.00%']"
