0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T210618C00018000', '2020-09-21', '3:38PM', 'EDT', '18.00', '10.54', '0.00', '0.00', '0.00', '-', '4', '0', '0.00%']"
"['T210618C00020000', '2020-09-21', '3:36PM', 'EDT', '20.00', '8.55', '0.00', '0.00', '0.00', '-', '5', '0', '0.00%']"
"['T210618C00023000', '2020-09-22', '3:01PM', 'EDT', '23.00', '5.55', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T210618C00025000', '2020-09-22', '3:02PM', 'EDT', '25.00', '3.85', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T210618C00028000', '2020-09-22', '12:55PM', 'EDT', '28.00', '1.98', '0.00', '0.00', '0.00', '-', '60', '0', '0.00%']"
"['T210618C00030000', '2020-09-22', '3:03PM', 'EDT', '30.00', '1.23', '0.00', '0.00', '0.00', '-', '196', '0', '1.56%']"
"['T210618C00032000', '2020-09-22', '3:32PM', 'EDT', '32.00', '0.71', '0.00', '0.00', '0.00', '-', '738', '0', '3.13%']"
"['T210618C00035000', '2020-09-22', '2:42PM', 'EDT', '35.00', '0.32', '0.00', '0.00', '0.00', '-', '137', '0', '6.25%']"
"['T210618C00037000', '2020-09-22', '2:47PM', 'EDT', '37.00', '0.19', '0.00', '0.00', '0.00', '-', '14', '0', '6.25%']"
"['T210618C00040000', '2020-09-22', '1:41PM', 'EDT', '40.00', '0.11', '0.00', '0.00', '0.00', '-', '12', '0', '12.50%']"
"['T210618C00042000', '2020-09-22', '2:45PM', 'EDT', '42.00', '0.08', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['T210618C00045000', '2020-09-22', '3:05PM', 'EDT', '45.00', '0.07', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['T210618C00047000', '2020-09-22', '9:48AM', 'EDT', '47.00', '0.06', '0.00', '0.00', '0.00', '-', '3', '0', '12.50%']"
