0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201218C00016000', '2020-07-08', '3:20PM', 'EDT', '16.00', '14.47', '13.95', '14.15', '0.00', '-', '7', '0', '139.11%']"
"['T201218C00017000', '2020-07-08', '3:18PM', 'EDT', '17.00', '13.45', '12.95', '13.15', '0.00', '-', '250', '0', '128.32%']"
"['T201218C00018000', '2020-07-29', '10:25AM', 'EDT', '18.00', '11.50', '11.85', '12.00', '0.00', '-', '1', '0', '114.06%']"
"['T201218C00019000', '2020-07-09', '3:59PM', 'EDT', '19.00', '10.70', '10.95', '11.20', '0.00', '-', '2', '0', '109.23%']"
"['T201218C00020000', '2020-09-02', '2:43PM', 'EDT', '20.00', '9.65', '0.00', '0.00', '0.00', '-', '8', '0', '0.00%']"
"['T201218C00022000', '2020-09-14', '10:07AM', 'EDT', '22.00', '7.25', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201218C00023000', '2020-09-17', '3:33PM', 'EDT', '23.00', '6.10', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201218C00024000', '2020-09-21', '2:55PM', 'EDT', '24.00', '4.60', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T201218C00025000', '2020-09-22', '3:31PM', 'EDT', '25.00', '3.60', '0.00', '0.00', '0.00', '-', '167', '0', '0.00%']"
"['T201218C00026000', '2020-09-22', '12:15PM', 'EDT', '26.00', '2.70', '0.00', '0.00', '0.00', '-', '5', '0', '0.00%']"
"['T201218C00027000', '2020-09-22', '2:18PM', 'EDT', '27.00', '1.97', '0.00', '0.00', '0.00', '-', '187', '0', '0.00%']"
"['T201218C00028000', '2020-09-22', '3:12PM', 'EDT', '28.00', '1.31', '0.00', '0.00', '0.00', '-', '159', '0', '0.00%']"
"['T201218C00029000', '2020-09-22', '3:25PM', 'EDT', '29.00', '0.83', '0.00', '0.00', '0.00', '-', '274', '0', '1.56%']"
"['T201218C00030000', '2020-09-22', '3:52PM', 'EDT', '30.00', '0.50', '0.00', '0.00', '0.00', '-', '669', '0', '3.13%']"
"['T201218C00031000', '2020-09-22', '3:57PM', 'EDT', '31.00', '0.29', '0.00', '0.00', '0.00', '-', '513', '0', '6.25%']"
"['T201218C00032000', '2020-09-22', '3:25PM', 'EDT', '32.00', '0.16', '0.00', '0.00', '0.00', '-', '435', '0', '6.25%']"
"['T201218C00033000', '2020-09-22', '3:08PM', 'EDT', '33.00', '0.10', '0.00', '0.00', '0.00', '-', '51', '0', '6.25%']"
"['T201218C00034000', '2020-09-22', '3:42PM', 'EDT', '34.00', '0.09', '0.00', '0.00', '0.00', '-', '18', '0', '6.25%']"
"['T201218C00040000', '2020-09-22', '3:47PM', 'EDT', '40.00', '0.03', '0.00', '0.00', '0.00', '-', '60', '0', '12.50%']"
"['T201218C00042000', '2020-09-21', '2:45PM', 'EDT', '42.00', '0.01', '0.00', '0.00', '0.00', '-', '24', '0', '25.00%']"
"['T201218C00045000', '2020-09-11', '9:40AM', 'EDT', '45.00', '0.03', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['T201218C00047000', '2020-08-03', '9:32AM', 'EDT', '47.00', '0.03', '0.00', '0.07', '0.00', '-', '1', '228', '50.39%']"
"['T201218C00050000', '2020-09-18', '3:25PM', 'EDT', '50.00', '0.02', '0.00', '0.00', '0.00', '-', '27', '0', '25.00%']"
