0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T201120P00020000', '2020-09-21', '12:35PM', 'EDT', '20.00', '0.04', '0.00', '0.00', '0.00', '-', '13', '0', '25.00%']"
"['T201120P00022000', '2020-09-18', '3:51PM', 'EDT', '22.00', '0.10', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['T201120P00024000', '2020-09-22', '3:47PM', 'EDT', '24.00', '0.18', '0.00', '0.00', '0.00', '-', '15', '0', '12.50%']"
"['T201120P00025000', '2020-09-22', '3:55PM', 'EDT', '25.00', '0.29', '0.00', '0.00', '0.00', '-', '601', '0', '6.25%']"
"['T201120P00027000', '2020-09-22', '3:58PM', 'EDT', '27.00', '0.69', '0.00', '0.00', '0.00', '-', '535', '0', '3.13%']"
"['T201120P00028000', '2020-09-22', '3:52PM', 'EDT', '28.00', '1.09', '0.00', '0.00', '0.00', '-', '611', '0', '1.56%']"
"['T201120P00029000', '2020-09-22', '3:55PM', 'EDT', '29.00', '1.63', '0.00', '0.00', '0.00', '-', '59', '0', '0.00%']"
"['T201120P00030000', '2020-09-22', '3:34PM', 'EDT', '30.00', '2.33', '0.00', '0.00', '0.00', '-', '11', '0', '0.00%']"
"['T201120P00031000', '2020-09-21', '12:25PM', 'EDT', '31.00', '3.27', '0.00', '0.00', '0.00', '-', '8', '0', '0.00%']"
"['T201120P00032000', '2020-09-21', '12:25PM', 'EDT', '32.00', '4.11', '0.00', '0.00', '0.00', '-', '8', '0', '0.00%']"
"['T201120P00034000', '2020-09-14', '3:42PM', 'EDT', '34.00', '5.80', '0.00', '0.00', '0.00', '-', '50', '0', '0.00%']"
"['T201120P00035000', '2020-09-22', '3:57PM', 'EDT', '35.00', '7.01', '0.00', '0.00', '0.00', '-', '12', '0', '0.00%']"
"['T201120P00036000', '2020-09-14', '10:49AM', 'EDT', '36.00', '7.12', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T201120P00038000', '2020-09-16', '3:59PM', 'EDT', '38.00', '9.25', '0.00', '0.00', '0.00', '-', '165', '0', '0.00%']"
