0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T210618P00015000', '2020-09-21', '3:00PM', 'EDT', '15.00', '0.10', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['T210618P00018000', '2020-09-21', '1:48PM', 'EDT', '18.00', '0.25', '0.00', '0.00', '0.00', '-', '3', '0', '12.50%']"
"['T210618P00020000', '2020-09-22', '2:42PM', 'EDT', '20.00', '0.35', '0.00', '0.00', '0.00', '-', '199', '0', '12.50%']"
"['T210618P00025000', '2020-09-22', '3:31PM', 'EDT', '25.00', '1.27', '0.00', '0.00', '0.00', '-', '349', '0', '3.13%']"
"['T210618P00028000', '2020-09-22', '11:08AM', 'EDT', '28.00', '2.52', '0.00', '0.00', '0.00', '-', '1', '0', '0.78%']"
"['T210618P00030000', '2020-09-22', '10:00AM', 'EDT', '30.00', '3.83', '0.00', '0.00', '0.00', '-', '20', '0', '0.00%']"
"['T210618P00032000', '2020-09-18', '12:10PM', 'EDT', '32.00', '4.80', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T210618P00035000', '2020-09-16', '3:53PM', 'EDT', '35.00', '6.95', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['T210618P00037000', '2020-08-31', '11:33AM', 'EDT', '37.00', '8.39', '0.00', '0.00', '0.00', '-', '10', '0', '0.00%']"
"['T210618P00040000', '2020-09-15', '9:33AM', 'EDT', '40.00', '11.78', '0.00', '0.00', '0.00', '-', '7', '0', '0.00%']"
