0
"['Trade', 'Date', 'Strike', 'Last', 'Price', 'Bid', 'Ask', 'Change', '%']"
"['T210416C00020000', '2020-09-22', '10:12AM', 'EDT', '20.00', '8.64', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T210416C00022000', '2020-09-21', '3:57PM', 'EDT', '22.00', '6.61', '0.00', '0.00', '0.00', '-', '3', '0', '0.00%']"
"['T210416C00026000', '2020-09-22', '9:53AM', 'EDT', '26.00', '3.15', '0.00', '0.00', '0.00', '-', '90', '0', '0.00%']"
"['T210416C00027000', '2020-09-22', '11:11AM', 'EDT', '27.00', '2.32', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['T210416C00029000', '2020-09-22', '12:37PM', 'EDT', '29.00', '1.29', '0.00', '0.00', '0.00', '-', '112', '0', '0.78%']"
"['T210416C00030000', '2020-09-22', '2:04PM', 'EDT', '30.00', '1.00', '0.00', '0.00', '0.00', '-', '131', '0', '1.56%']"
"['T210416C00031000', '2020-09-22', '1:11PM', 'EDT', '31.00', '0.70', '0.00', '0.00', '0.00', '-', '3', '0', '3.13%']"
"['T210416C00032000', '2020-09-22', '1:01PM', 'EDT', '32.00', '0.48', '0.00', '0.00', '0.00', '-', '1,563', '0', '3.13%']"
"['T210416C00033000', '2020-09-22', '3:03PM', 'EDT', '33.00', '0.36', '0.00', '0.00', '0.00', '-', '12', '0', '6.25%']"
"['T210416C00034000', '2020-09-22', '2:41PM', 'EDT', '34.00', '0.27', '0.00', '0.00', '0.00', '-', '3', '0', '6.25%']"
"['T210416C00035000', '2020-09-22', '1:13PM', 'EDT', '35.00', '0.19', '0.00', '0.00', '0.00', '-', '37', '0', '6.25%']"
"['T210416C00036000', '2020-09-21', '9:56AM', 'EDT', '36.00', '0.15', '0.00', '0.00', '0.00', '-', '22', '0', '6.25%']"
"['T210416C00037000', '2020-09-21', '9:55AM', 'EDT', '37.00', '0.12', '0.00', '0.00', '0.00', '-', '2', '0', '6.25%']"
"['T210416C00038000', '2020-09-21', '9:54AM', 'EDT', '38.00', '0.10', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['T210416C00040000', '2020-09-22', '3:58PM', 'EDT', '40.00', '0.07', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
