0
"['GOOG201120P00680000', '2020-09-22', '2:22PM', 'EDT', '680.00', '0.10', '0.00', '0.00', '0.00', '-', '24', '0', '25.00%']"
"['GOOG201120P00700000', '2020-09-22', '12:16PM', 'EDT', '700.00', '0.05', '0.00', '0.00', '0.00', '-', '10', '0', '25.00%']"
"['GOOG201120P00720000', '2020-09-21', '12:43PM', 'EDT', '720.00', '0.13', '0.00', '0.00', '0.00', '-', '12', '0', '25.00%']"
"['GOOG201120P00740000', '2020-07-02', '12:03PM', 'EDT', '740.00', '1.90', '0.15', '1.70', '0.00', '-', '3', '3', '72.10%']"
"['GOOG201120P00760000', '2020-08-06', '12:53PM', 'EDT', '760.00', '0.60', '0.05', '2.45', '0.00', '-', '-', '251', '72.27%']"
"['GOOG201120P00780000', '2020-08-25', '11:23AM', 'EDT', '780.00', '0.10', '0.00', '0.00', '0.00', '-', '-', '0', '25.00%']"
"['GOOG201120P00800000', '2020-08-07', '3:50PM', 'EDT', '800.00', '1.10', '0.00', '2.80', '0.00', '-', '6', '20', '68.14%']"
"['GOOG201120P00820000', '2020-06-29', '2:17PM', 'EDT', '820.00', '6.41', '1.20', '2.30', '0.00', '-', '1', '4', '67.71%']"
"['GOOG201120P00840000', '2020-07-09', '8:17PM', 'EDT', '840.00', '4.50', '1.80', '2.85', '0.00', '-', '-', '1', '68.01%']"
"['GOOG201120P00845000', '2020-09-03', '12:22PM', 'EDT', '845.00', '1.12', '0.00', '0.00', '0.00', '-', '-', '0', '25.00%']"
"['GOOG201120P00860000', '2020-06-16', '12:17PM', 'EDT', '860.00', '6.70', '3.40', '6.50', '0.00', '-', '10', '13', '74.33%']"
"['GOOG201120P00880000', '2020-07-09', '8:17PM', 'EDT', '880.00', '5.70', '2.45', '3.60', '0.00', '-', '-', '3', '65.65%']"
"['GOOG201120P00890000', '2020-09-03', '3:08PM', 'EDT', '890.00', '2.55', '0.00', '0.00', '0.00', '-', '2', '0', '25.00%']"
"['GOOG201120P00900000', '2020-09-08', '12:52PM', 'EDT', '900.00', '2.39', '0.00', '0.00', '0.00', '-', '2', '0', '25.00%']"
"['GOOG201120P00915000', '2020-09-08', '11:40AM', 'EDT', '915.00', '2.95', '0.00', '0.00', '0.00', '-', '2', '0', '25.00%']"
"['GOOG201120P00920000', '2020-09-08', '11:01AM', 'EDT', '920.00', '3.30', '0.00', '0.00', '0.00', '-', '2', '0', '25.00%']"
"['GOOG201120P00925000', '2020-09-18', '2:52PM', 'EDT', '925.00', '1.05', '0.00', '0.00', '0.00', '-', '1', '0', '25.00%']"
"['GOOG201120P00930000', '2020-09-08', '11:38AM', 'EDT', '930.00', '3.30', '0.00', '0.00', '0.00', '-', '14', '0', '25.00%']"
"['GOOG201120P00935000', '2020-09-08', '11:02AM', 'EDT', '935.00', '3.60', '0.00', '0.00', '0.00', '-', '2', '0', '25.00%']"
"['GOOG201120P00940000', '2020-09-09', '10:52AM', 'EDT', '940.00', '2.20', '0.00', '0.00', '0.00', '-', '3', '0', '25.00%']"
"['GOOG201120P00945000', '2020-09-08', '11:24AM', 'EDT', '945.00', '3.60', '0.00', '0.00', '0.00', '-', '8', '0', '25.00%']"
"['GOOG201120P00950000', '2020-09-08', '12:52PM', 'EDT', '950.00', '1.60', '0.00', '0.00', '0.00', '-', '3', '0', '25.00%']"
"['GOOG201120P00960000', '2020-08-27', '3:26PM', 'EDT', '960.00', '2.15', '0.00', '0.00', '0.00', '-', '6', '0', '25.00%']"
"['GOOG201120P00965000', '2020-09-03', '2:08PM', 'EDT', '965.00', '3.60', '0.00', '0.00', '0.00', '-', '-', '0', '25.00%']"
"['GOOG201120P00970000', '2020-09-03', '2:10PM', 'EDT', '970.00', '3.70', '0.00', '0.00', '0.00', '-', '-', '0', '25.00%']"
"['GOOG201120P00980000', '2020-09-14', '3:40PM', 'EDT', '980.00', '1.40', '0.00', '0.00', '0.00', '-', '3', '0', '25.00%']"
"['GOOG201120P00995000', '2020-09-08', '11:10AM', 'EDT', '995.00', '5.70', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['GOOG201120P01000000', '2020-09-17', '12:19PM', 'EDT', '1,000.00', '3.20', '0.00', '0.00', '0.00', '-', '3', '0', '12.50%']"
"['GOOG201120P01020000', '2020-09-16', '12:57PM', 'EDT', '1,020.00', '1.37', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['GOOG201120P01040000', '2020-09-21', '11:09AM', 'EDT', '1,040.00', '4.84', '0.00', '0.00', '0.00', '-', '1', '0', '12.50%']"
"['GOOG201120P01060000', '2020-09-17', '3:58PM', 'EDT', '1,060.00', '5.20', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['GOOG201120P01080000', '2020-09-21', '9:36AM', 'EDT', '1,080.00', '6.20', '0.00', '0.00', '0.00', '-', '6', '0', '12.50%']"
"['GOOG201120P01100000', '2020-09-18', '3:50PM', 'EDT', '1,100.00', '6.58', '0.00', '0.00', '0.00', '-', '2', '0', '12.50%']"
"['GOOG201120P01120000', '2020-09-18', '12:11PM', 'EDT', '1,120.00', '7.30', '0.00', '0.00', '0.00', '-', '37', '0', '12.50%']"
"['GOOG201120P01140000', '2020-09-22', '3:45PM', 'EDT', '1,140.00', '9.50', '0.00', '0.00', '0.00', '-', '6', '0', '12.50%']"
"['GOOG201120P01160000', '2020-09-22', '3:28PM', 'EDT', '1,160.00', '11.10', '0.00', '0.00', '0.00', '-', '6', '0', '12.50%']"
"['GOOG201120P01180000', '2020-09-22', '3:45PM', 'EDT', '1,180.00', '13.40', '0.00', '0.00', '0.00', '-', '6', '0', '12.50%']"
"['GOOG201120P01200000', '2020-09-22', '3:42PM', 'EDT', '1,200.00', '15.00', '0.00', '0.00', '0.00', '-', '13', '0', '12.50%']"
"['GOOG201120P01220000', '2020-09-22', '3:30PM', 'EDT', '1,220.00', '18.40', '0.00', '0.00', '0.00', '-', '5', '0', '6.25%']"
"['GOOG201120P01240000', '2020-09-22', '3:45PM', 'EDT', '1,240.00', '21.90', '0.00', '0.00', '0.00', '-', '4', '0', '6.25%']"
"['GOOG201120P01250000', '2020-09-22', '3:28PM', 'EDT', '1,250.00', '23.30', '0.00', '0.00', '0.00', '-', '3', '0', '6.25%']"
"['GOOG201120P01255000', '2020-09-22', '3:45PM', 'EDT', '1,255.00', '24.60', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['GOOG201120P01260000', '2020-09-22', '3:45PM', 'EDT', '1,260.00', '25.60', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['GOOG201120P01265000', '2020-07-01', '11:04AM', 'EDT', '1,265.00', '51.10', '32.00', '34.00', '0.00', '-', '5', '19', '48.22%']"
"['GOOG201120P01270000', '2020-09-22', '3:28PM', 'EDT', '1,270.00', '26.90', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['GOOG201120P01275000', '2020-09-22', '3:52PM', 'EDT', '1,275.00', '28.90', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['GOOG201120P01280000', '2020-09-22', '3:52PM', 'EDT', '1,280.00', '30.00', '0.00', '0.00', '0.00', '-', '2', '0', '6.25%']"
"['GOOG201120P01285000', '2020-09-22', '3:31PM', 'EDT', '1,285.00', '30.70', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['GOOG201120P01290000', '2020-09-22', '3:31PM', 'EDT', '1,290.00', '31.80', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['GOOG201120P01295000', '2020-09-21', '10:35AM', 'EDT', '1,295.00', '32.90', '0.00', '0.00', '0.00', '-', '1', '0', '6.25%']"
"['GOOG201120P01300000', '2020-09-22', '11:50AM', 'EDT', '1,300.00', '34.40', '0.00', '0.00', '0.00', '-', '4', '0', '6.25%']"
"['GOOG201120P01310000', '2020-09-22', '3:47PM', 'EDT', '1,310.00', '36.40', '0.00', '0.00', '0.00', '-', '2', '0', '6.25%']"
"['GOOG201120P01315000', '2020-09-21', '3:56PM', 'EDT', '1,315.00', '43.98', '0.00', '0.00', '0.00', '-', '19', '0', '6.25%']"
