0
"['GOOG210716P01540000', '2020-09-08', '10:21AM', 'EDT', '1,540.00', '212.50', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['GOOG210716P01550000', '2020-09-11', '3:58PM', 'EDT', '1,550.00', '195.30', '0.00', '0.00', '0.00', '-', '175', '0', '0.00%']"
"['GOOG210716P01560000', '2020-09-08', '10:21AM', 'EDT', '1,560.00', '222.67', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['GOOG210716P01570000', '2020-08-24', '12:14AM', 'EDT', '1,570.00', '175.10', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
"['GOOG210716P01580000', '2020-09-08', '10:15AM', 'EDT', '1,580.00', '233.50', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['GOOG210716P01600000', '2020-09-08', '9:30AM', 'EDT', '1,600.00', '266.68', '0.00', '0.00', '0.00', '-', '1', '0', '0.00%']"
"['GOOG210716P01620000', '2020-09-03', '3:57PM', 'EDT', '1,620.00', '228.79', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
"['GOOG210716P01640000', '2020-09-11', '2:42PM', 'EDT', '1,640.00', '253.65', '0.00', '0.00', '0.00', '-', '46', '0', '0.00%']"
"['GOOG210716P01650000', '2020-09-03', '10:32AM', 'EDT', '1,650.00', '214.40', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
"['GOOG210716P01680000', '2020-09-03', '3:44PM', 'EDT', '1,680.00', '267.28', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
"['GOOG210716P01700000', '2020-09-03', '3:36PM', 'EDT', '1,700.00', '280.92', '0.00', '0.00', '0.00', '-', '2', '0', '0.00%']"
"['GOOG210716P01710000', '2020-09-03', '10:32AM', 'EDT', '1,710.00', '244.70', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
"['GOOG210716P01760000', '2020-09-02', '2:39PM', 'EDT', '1,760.00', '261.50', '0.00', '0.00', '0.00', '-', '13', '0', '0.00%']"
"['GOOG210716P01800000', '2020-09-02', '2:40PM', 'EDT', '1,800.00', '282.11', '0.00', '0.00', '0.00', '-', '-', '0', '0.00%']"
