0,1,2,3,4,5,6,7,8,9,10,11,12
ADBE201016C00440000,2020-09-22,3:53PM,EDT,440.00,51.20,0.00,0.00,0.00,-,6,0,0.00%
ADBE201016C00445000,2020-09-22,3:06PM,EDT,445.00,45.10,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00450000,2020-09-22,1:15PM,EDT,450.00,44.31,0.00,0.00,0.00,-,37,0,0.00%
ADBE201016C00455000,2020-09-22,2:37PM,EDT,455.00,40.15,0.00,0.00,0.00,-,6,0,0.00%
ADBE201016C00460000,2020-09-22,3:58PM,EDT,460.00,36.12,0.00,0.00,0.00,-,39,0,0.00%
ADBE201016C00465000,2020-09-22,3:46PM,EDT,465.00,33.00,0.00,0.00,0.00,-,20,0,0.00%
ADBE201016C00470000,2020-09-22,3:54PM,EDT,470.00,29.76,0.00,0.00,0.00,-,64,0,0.00%
ADBE201016C00475000,2020-09-22,3:45PM,EDT,475.00,25.99,0.00,0.00,0.00,-,112,0,0.00%
ADBE201016C00480000,2020-09-22,3:57PM,EDT,480.00,23.73,0.00,0.00,0.00,-,240,0,0.00%
ADBE201016C00485000,2020-09-22,3:59PM,EDT,485.00,20.82,0.00,0.00,0.00,-,174,0,0.00%
ADBE201016C00490000,2020-09-22,3:59PM,EDT,490.00,18.49,0.00,0.00,0.00,-,162,0,0.78%
ADBE201016C00495000,2020-09-22,3:54PM,EDT,495.00,16.00,0.00,0.00,0.00,-,71,0,1.56%
ADBE201016C00500000,2020-09-22,3:59PM,EDT,500.00,14.20,0.00,0.00,0.00,-,242,0,3.13%
ADBE201016C00505000,2020-09-22,3:49PM,EDT,505.00,11.85,0.00,0.00,0.00,-,86,0,3.13%
ADBE201016C00510000,2020-09-22,3:59PM,EDT,510.00,10.47,0.00,0.00,0.00,-,133,0,3.13%
ADBE201016C00515000,2020-09-22,3:32PM,EDT,515.00,8.85,0.00,0.00,0.00,-,18,0,6.25%
ADBE201016C00520000,2020-09-22,3:57PM,EDT,520.00,7.80,0.00,0.00,0.00,-,713,0,6.25%
ADBE201016C00525000,2020-09-22,3:45PM,EDT,525.00,6.32,0.00,0.00,0.00,-,215,0,6.25%
ADBE201016C00530000,2020-09-22,3:57PM,EDT,530.00,5.60,0.00,0.00,0.00,-,627,0,6.25%
ADBE201016C00535000,2020-09-22,3:56PM,EDT,535.00,4.73,0.00,0.00,0.00,-,32,0,6.25%
ADBE201016C00540000,2020-09-22,3:58PM,EDT,540.00,3.98,0.00,0.00,0.00,-,133,0,6.25%
ADBE201016C00545000,2020-09-22,3:34PM,EDT,545.00,3.02,0.00,0.00,0.00,-,70,0,12.50%
ADBE201016C00550000,2020-09-22,3:56PM,EDT,550.00,2.71,0.00,0.00,0.00,-,160,0,12.50%
ADBE201016C00555000,2020-09-22,3:57PM,EDT,555.00,2.27,0.00,0.00,0.00,-,39,0,12.50%
ADBE201016C00560000,2020-09-22,3:56PM,EDT,560.00,1.83,0.00,0.00,0.00,-,57,0,12.50%
ADBE201016C00565000,2020-09-22,3:57PM,EDT,565.00,1.62,0.00,0.00,0.00,-,22,0,12.50%
ADBE201016C00570000,2020-09-22,3:06PM,EDT,570.00,1.07,0.00,0.00,0.00,-,39,0,12.50%
ADBE201016C00575000,2020-09-22,3:58PM,EDT,575.00,1.15,0.00,0.00,0.00,-,34,0,12.50%
ADBE201016C00580000,2020-09-22,1:07PM,EDT,580.00,0.65,0.00,0.00,0.00,-,22,0,12.50%
ADBE201016C00585000,2020-09-22,3:46PM,EDT,585.00,0.69,0.00,0.00,0.00,-,7,0,12.50%
ADBE201016C00590000,2020-09-21,1:38PM,EDT,590.00,0.47,0.00,0.00,0.00,-,1,0,12.50%
ADBE201016C00595000,2020-09-18,1:12PM,EDT,595.00,0.50,0.00,0.00,0.00,-,8,0,12.50%
ADBE201016C00600000,2020-09-22,3:53PM,EDT,600.00,0.48,0.00,0.00,0.00,-,22,0,12.50%
ADBE201016C00605000,2020-09-22,3:36PM,EDT,605.00,0.38,0.00,0.00,0.00,-,1,0,12.50%
ADBE201016C00610000,2020-09-22,3:36PM,EDT,610.00,0.34,0.00,0.00,0.00,-,1,0,12.50%
