0,1,2,3,4,5,6,7,8,9,10,11,12
ADBE210115P00425000,2020-09-22,3:35PM,EDT,425.00,22.31,0.00,0.00,0.00,-,65,0,6.25%
ADBE210115P00430000,2020-09-22,2:43PM,EDT,430.00,23.20,0.00,0.00,0.00,-,28,0,6.25%
ADBE210115P00435000,2020-09-22,2:39PM,EDT,435.00,26.00,0.00,0.00,0.00,-,10,0,3.13%
ADBE210115P00445000,2020-09-22,1:40PM,EDT,445.00,30.60,0.00,0.00,0.00,-,2,0,3.13%
ADBE210115P00450000,2020-09-22,1:11PM,EDT,450.00,33.10,0.00,0.00,0.00,-,4,0,3.13%
ADBE210115P00455000,2020-09-22,1:17PM,EDT,455.00,35.20,0.00,0.00,0.00,-,3,0,3.13%
ADBE210115P00460000,2020-09-22,1:07PM,EDT,460.00,37.80,0.00,0.00,0.00,-,11,0,1.56%
ADBE210115P00465000,2020-09-22,1:12PM,EDT,465.00,39.80,0.00,0.00,0.00,-,7,0,1.56%
ADBE210115P00475000,2020-09-22,3:35PM,EDT,475.00,41.91,0.00,0.00,0.00,-,60,0,0.78%
ADBE210115P00480000,2020-09-22,1:07PM,EDT,480.00,47.45,0.00,0.00,0.00,-,3,0,0.78%
ADBE210115P00485000,2020-09-22,3:27PM,EDT,485.00,47.24,0.00,0.00,0.00,-,13,0,0.20%
ADBE210115P00490000,2020-09-22,3:51PM,EDT,490.00,48.67,0.00,0.00,0.00,-,9,0,0.00%
ADBE210115P00495000,2020-09-22,2:10PM,EDT,495.00,53.20,0.00,0.00,0.00,-,1,0,0.00%
ADBE210115P00500000,2020-09-22,2:16PM,EDT,500.00,55.60,0.00,0.00,0.00,-,1,0,0.00%
ADBE210115P00505000,2020-09-14,1:32PM,EDT,505.00,65.40,0.00,0.00,0.00,-,8,0,0.00%
ADBE210115P00510000,2020-09-22,3:06PM,EDT,510.00,61.45,0.00,0.00,0.00,-,5,0,0.00%
ADBE210115P00515000,2020-09-17,12:15PM,EDT,515.00,74.70,0.00,0.00,0.00,-,1,0,0.00%
ADBE210115P00520000,2020-09-14,11:28AM,EDT,520.00,71.15,0.00,0.00,0.00,-,100,0,0.00%
ADBE210115P00540000,2020-09-21,2:02PM,EDT,540.00,88.52,0.00,0.00,0.00,-,3,0,0.00%
ADBE210115P00560000,2020-09-09,3:51PM,EDT,560.00,107.55,0.00,0.00,0.00,-,1,0,0.00%
ADBE210115P00580000,2020-09-09,3:51PM,EDT,580.00,107.15,0.00,0.00,0.00,-,1,0,0.00%
ADBE210115P00600000,2020-08-26,12:03PM,EDT,600.00,129.91,0.00,0.00,0.00,-,21,0,0.00%
ADBE210115P00620000,2020-09-01,11:09AM,EDT,620.00,126.35,0.00,0.00,0.00,-,1,0,0.00%
ADBE210115P00660000,2020-09-01,9:53AM,EDT,660.00,156.40,0.00,0.00,0.00,-,-,0,0.00%
ADBE210115P00680000,2020-09-01,9:53AM,EDT,680.00,172.80,0.00,0.00,0.00,-,-,0,0.00%
ADBE210115P00700000,2020-09-21,12:13AM,EDT,700.00,224.56,0.00,0.00,0.00,-,-,0,0.00%
